State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Alabama,AL HJR 0404,1,Negative,1,0,-1,,2013,5/2/13,Legislative Resolution,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/HJR404/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL SJR 0098,1,Negative,3,1,1,,2013,5/2/13,Legislative Resolution,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/SJR98/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL SJR 0109,1,Negative,1,1,1,,2013,5/2/13,Legislative Resolution,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/SJR109/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,LA HCR 0130,1,Negative,1,1,1,,2013,5/14/13,Sharing of Student Data,Failed (Adjourned),,1,http://openstates.org/la/bills/2013/HCR130/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA S 0943,1,Negative,23,0,-1,,2013,5/15/13,Keystone Exams,Pending,,1,http://openstates.org/pa/bills/2013-2014/SB943/,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,NY A 7442,1,Negative,8,0,-1,,2013,5/16/13,Truth in Testing for the Common Core,Pending (Amended),,1,http://openstates.org/ny/bills/2013-2014/A7442/,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New York,NY S 5540,1,Negative,3,0.66667,0.33334,,2013,5/16/13,Truth in Testing for the Common Core,Pending (Amended),,1,http://openstates.org/ny/bills/2013-2014/S5540/,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN S 1682,1,Negative,1,1,1,,2013,5/20/13,Education,Pending (Carryover),,1,http://openstates.org/mn/bills/2013-2014/SF1682/,1,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK HR 1030,1,Negative,1,1,1,,2013,5/23/13,State Board of Edcuation,Failed (Adjourned),,1,http://openstates.org/ok/bills/2013-2014/HR1030/,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA HR 0338,1,Negative,20,0.85,0.7,,2013,5/30/13,Rigorous Academic Standards,Enacted,6/18/13,3,http://openstates.org/pa/bills/2013-2014/HR338/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ A 4197,1,Negative,4,0,-1,,2013,6/10/13,Administration of State Assessments Via the Internet,Pending,,1,http://openstates.org/nj/bills/215/A4197/,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New York,NY A 7994,1,Negative,25,1,1,,2013,6/13/13,Common Core State Standards Initiative,Pending,,1,http://openstates.org/ny/bills/2013-2014/A7994/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA H 1551,1,Negative,18,0.05556,-0.88888,,2013,7/24/13,Public School Common Core Standards,Pending,,1,http://openstates.org/pa/bills/2013-2014/HB1551/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA H 1555,1,Negative,18,0.05556,-0.88888,,2013,7/24/13,Public School Common Core Standards,Pending,,1,http://openstates.org/pa/bills/2013-2014/HB1555/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH H 0237,1,Negative,1,1,1,,2013,7/31/13,Common Core Initiative Academic Standards,Pending,,1,http://openstates.org/oh/bills/130/HB237/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
